Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - In family households:,Margin of Error; Income in the past 12 months below poverty level: - In family households:,Estimate; Income in the past 12 months below poverty level: - In family households: - In married couple families:,Margin of Error; Income in the past 12 months below poverty level: - In family households: - In married couple families:,Estimate; Income in the past 12 months below poverty level: - In family households: - In married couple families: - All relatives,Margin of Error; Income in the past 12 months below poverty level: - In family households: - In married couple families: - All relatives,Estimate; Income in the past 12 months below poverty level: - In family households: - In married couple families: - Non-relatives,Margin of Error; Income in the past 12 months below poverty level: - In family households: - In married couple families: - Non-relatives,Estimate; Income in the past 12 months below poverty level: - In family households: - In other families:,Margin of Error; Income in the past 12 months below poverty level: - In family households: - In other families:,"Estimate; Income in the past 12 months below poverty level: - In family households: - In other families: - Male householder, no wife present:","Margin of Error; Income in the past 12 months below poverty level: - In family households: - In other families: - Male householder, no wife present:","Estimate; Income in the past 12 months below poverty level: - In family households: - In other families: - Male householder, no wife present: - All relatives","Margin of Error; Income in the past 12 months below poverty level: - In family households: - In other families: - Male householder, no wife present: - All relatives","Estimate; Income in the past 12 months below poverty level: - In family households: - In other families: - Male householder, no wife present: - Non-relatives","Margin of Error; Income in the past 12 months below poverty level: - In family households: - In other families: - Male householder, no wife present: - Non-relatives","Estimate; Income in the past 12 months below poverty level: - In family households: - In other families: - Female householder, no husband present:","Margin of Error; Income in the past 12 months below poverty level: - In family households: - In other families: - Female householder, no husband present:","Estimate; Income in the past 12 months below poverty level: - In family households: - In other families: - Female householder, no husband present: - All relatives","Margin of Error; Income in the past 12 months below poverty level: - In family households: - In other families: - Female householder, no husband present: - All relatives","Estimate; Income in the past 12 months below poverty level: - In family households: - In other families: - Female householder, no husband present: - Non-relatives","Margin of Error; Income in the past 12 months below poverty level: - In family households: - In other families: - Female householder, no husband present: - Non-relatives",Estimate; Income in the past 12 months below poverty level: - In non-family households and other living arrangement:,Margin of Error; Income in the past 12 months below poverty level: - In non-family households and other living arrangement:,Estimate; Income in the past 12 months below poverty level: - In non-family households and other living arrangement: - Householder:,Margin of Error; Income in the past 12 months below poverty level: - In non-family households and other living arrangement: - Householder:,Estimate; Income in the past 12 months below poverty level: - In non-family households and other living arrangement: - Householder: - Living alone,Margin of Error; Income in the past 12 months below poverty level: - In non-family households and other living arrangement: - Householder: - Living alone,Estimate; Income in the past 12 months below poverty level: - In non-family households and other living arrangement: - Householder: - Not living alone,Margin of Error; Income in the past 12 months below poverty level: - In non-family households and other living arrangement: - Householder: - Not living alone,Estimate; Income in the past 12 months below poverty level: - In non-family households and other living arrangement: - Other living arrangement,Margin of Error; Income in the past 12 months below poverty level: - In non-family households and other living arrangement: - Other living arrangement,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - In family households:,Margin of Error; Income in the past 12 months at or above poverty level: - In family households:,Estimate; Income in the past 12 months at or above poverty level: - In family households: - In married couple families:,Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In married couple families:,Estimate; Income in the past 12 months at or above poverty level: - In family households: - In married couple families: - All relatives,Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In married couple families: - All relatives,Estimate; Income in the past 12 months at or above poverty level: - In family households: - In married couple families: - Non-relatives,Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In married couple families: - Non-relatives,Estimate; Income in the past 12 months at or above poverty level: - In family households: - In other families:,Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In other families:,"Estimate; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Male householder, no wife present:","Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Male householder, no wife present:","Estimate; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Male householder, no wife present: - All relatives","Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Male householder, no wife present: - All relatives","Estimate; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Male householder, no wife present: - Non-relatives","Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Male householder, no wife present: - Non-relatives","Estimate; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Female householder, no husband present:","Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Female householder, no husband present:","Estimate; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Female householder, no husband present: - All relatives","Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Female householder, no husband present: - All relatives","Estimate; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Female householder, no husband present: - Non-relatives","Margin of Error; Income in the past 12 months at or above poverty level: - In family households: - In other families: - Female householder, no husband present: - Non-relatives",Estimate; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement:,Margin of Error; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement:,Estimate; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement: - Householder:,Margin of Error; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement: - Householder:,Estimate; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement: - Householder: - Living alone,Margin of Error; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement: - Householder: - Living alone,Estimate; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement: - Householder: - Not living alone,Margin of Error; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement: - Householder: - Not living alone,Estimate; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement: - Other living arrangement,Margin of Error; Income in the past 12 months at or above poverty level: - In non-family households and other living arrangement: - Other living arrangement
Allegheny Center,1,1130,184,516,195,290,202,163,195,163,195,0,10,127,80,0,10,0,10,0,10,127,80,121,74,6,10,226,83,205,82,182,84,23,20,21,16,614,138,143,76,143,76,143,76,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,471,113,375,85,309,80,66,38,96,57
Allegheny West,2,331,104,45,26,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,45,26,0,10,0,10,0,10,45,26,286,102,199,101,186,99,179,94,7,11,13,19,13,19,13,19,0,10,0,10,0,10,0,10,87,40,79,36,66,34,13,13,8,11
Allentown,3,2624,499.0130259,750,397.3159951,490,400.2511711,0,17.32050808,0,17.32050808,0,17.32050808,490,400.2511711,0,17.32050808,0,17.32050808,0,17.32050808,490,400.2511711,449,379.5655411,41,64.56779383,260,120.158229,171,72.59476565,171,72.59476565,0,17.32050808,89,102.8056419,1874,360.2568528,1480,344.164205,544,220.5561153,544,220.5561153,0,17.32050808,936,357.3863456,71,66.82065549,71,66.82065549,0,17.32050808,865,355.9676952,865,355.9676952,0,17.32050808,394,136.6382084,328,105.8772875,274,98.20896089,54,54.08326913,66,56.96490147
Arlington,4,1890,367.887211,343,160.6268969,279,158.7765726,97,96.04686356,83,97.03607577,14,23.68543856,182,126.6925412,113,113.1812705,103,101.3656747,10,20.61552813,69,60.55575943,22,35.90264614,47,37.28270376,64,30.6757233,43,25.37715508,33,24.75883681,10,15.77973384,21,19.6977156,1547,319.7717936,1113,283.3619593,724,262.2880096,712,261.6524412,12,22.89104628,389,164.0731544,17,25.3179778,17,25.3179778,0,17.32050808,372,167.0209568,372,167.0209568,0,17.32050808,434,172.5659294,230,71.67984375,125,51.85556865,105,49.60846702,204,117.6350288
Arlington Heights,5,380,196,278,198,257,196,0,10,0,10,0,10,257,196,0,10,0,10,0,10,257,196,257,196,0,10,21,18,21,18,21,18,0,10,0,10,102,75,55,79,0,10,0,10,0,10,55,79,0,10,0,10,0,10,55,79,49,79,6,9,47,38,47,38,47,38,0,10,0,10
Banksville,6,3944,494.2054229,252,175.8351501,178,166.9790406,118,152.9836593,118,152.9836593,0,20,60,66.70832032,0,20,0,20,0,20,60,66.70832032,27,46.35730795,33,51.97114584,74,57.18391382,33,39.39543121,33,39.39543121,0,20,41,44.17012565,3692,453.2085613,2474,436.5856159,1954,391.537993,1954,391.537993,0,20,520,288.6399141,69,79.67433715,69,79.67433715,0,20,451,277.2093072,379,225.7720089,72,105.4324428,1218,260.6184951,1057,228.1556486,891,231.7757537,166,80.95060222,161,90.49309366
Bedford Dwellings,7,1169,169,815,196,566,201,113,133,113,133,0,10,453,153,48,50,48,50,0,10,405,142,405,142,0,10,249,77,234,74,211,75,23,20,15,18,354,102,197,97,33,27,33,27,0,10,164,92,28,45,28,45,0,10,136,91,136,91,0,10,157,60,152,59,152,59,0,10,5,8
Beechview,8,8081,751.3700819,1473,435.6213953,1146,428.8939263,392,319.7139346,384,319.6060075,8,32.69556545,754,283.0706626,151,139.5564402,21,45.3431362,130,136.8539367,603,259.2103393,570,251.4895624,33,47.4341649,327,103.3295698,244,94.44575163,202,89.79420917,42,39.01281841,83,47.05316142,6608,665.8415727,5130,648.2244981,3250,540.4710908,3250,540.4710908,0,31.6227766,1880,416.5957273,636,255.0509753,569,232.5489196,67,52.35456045,1244,349.4653059,1137,323.7159248,107,67.58698099,1478,266.9513064,1243,207.9855764,994,180.2442787,249,111.8972743,235,109.7998179
Beltzhoover,9,1885,337.7617504,554,210.964452,323,191.3191052,0,20,0,20,0,20,323,191.3191052,44,69.20260111,44,69.20260111,0,20,279,178.4460703,261,172.017441,18,26.11512971,231,128.5379321,205,109.3846424,166,99.56404974,39,46.49731175,26,42.67317659,1331,298.0637516,1122,303,593,262.8954165,593,262.8954165,0,20,529,190.3785702,206,170.3584456,186,166.4962462,20,30.41381265,323,157.990506,323,157.990506,0,20,209,74.04052944,188,67.60917098,184,67.60917098,4,19.5192213,21,29.86636905
Bloomfield,10,8702,527.9374963,1760,316.7948863,392,189.881542,175,134.6216922,175,134.6216922,0,31.6227766,217,136.0551359,57,60.10823571,33,48.41487375,24,47.63402146,160,126.0872714,155,125.8014308,5,31.32091953,1368,254.0688883,733,135.4769353,439,103.8315944,294,87.62990357,635,179.3711237,6942,502.0756915,3321,425.3398641,2229,324.44414,2229,324.44414,0,31.6227766,1092,304.0608492,473,226.2564916,401,197.2739212,72,54.93632678,619,200.3721538,601,195.7191866,18,31.01612484,3621,347.5471191,2592,212.4970588,1826,190.908355,766,142.3551896,1029,211.1350279
Bluff,11,630,136.370818,215,111.1800342,11,24.2693222,0,20,0,20,0,20,11,24.2693222,11,24.2693222,11,24.2693222,0,20,0,20,0,20,0,20,204,109.2062269,79,38.10511777,47,30.41381265,32,28.58321186,125,95.7340065,415,110.2043556,187,70.83078427,144,61.78187436,144,61.78187436,0,20,43,41.76122604,38,38.15756806,38,38.15756806,0,20,5,23.57965225,5,23.57965225,0,20,228,92.66067127,122,62.00806399,95,55.90169944,27,29.74894956,106,65.95452979
Bon Air,12,832,175,140,167,133,167,0,10,0,10,0,10,133,167,0,10,0,10,0,10,133,167,133,167,0,10,7,10,0,10,0,10,0,10,7,10,692,143,571,159,558,158,558,158,0,10,13,23,0,10,0,10,0,10,13,23,13,23,0,10,121,68,106,60,89,55,17,18,15,16
Brighton Heights,13,7249,524.8161583,945,307.2767482,613,289.7809518,157,119.3943047,148,118.8528502,9,28.21347196,456,258.9227684,174,133.0526212,91,111.8257573,83,76.79843748,282,224.247631,269,216.3492547,13,35.7211422,332,106.9298836,253,82.40752393,209,78.47929663,44,37.74917218,79,51.45872132,6304,472.4732797,4951,495.0303021,3462,430.3765793,3443,428.7598395,19,38.72983346,1489,331.7529201,410,202.1880313,400,199.2385505,10,28.72281323,1079,303.720266,1061,301.9784761,18,25.70992026,1353,224.9088704,1102,174.9914284,920,162.6407083,182,70.9929574,251,95.8018789
Brookline,14,13191,916.3301807,1361,342.595972,972,318.6675384,421,243.8031993,368,240.1728544,53,62.69768736,551,216.9861747,138,105.2140675,113,100.9058968,25,48.86716689,413,190.4730952,380,185.6555951,33,46.06517123,389,137.5863365,257,88.06247782,217,81.97560613,40,49.31531202,132,106.8082394,11830,906.9228192,9237,935.7088222,6677,850.6338813,6663,849.3485739,14,41.96427052,2560,528.2338497,723,331.8975746,648,292.3337134,75,74.04728219,1837,440.662002,1793,430.5206151,44,57.94825278,2593,324.9738451,2258,280.0232133,1910,261.3178142,348,138.2244551,335,113.6353818
California-Kirkbride,15,786,206,305,120,223,118,9,14,9,14,0,10,214,117,0,10,0,10,0,10,214,117,205,114,9,13,82,36,64,32,53,27,11,14,18,14,481,198,394,201,104,78,104,78,0,10,290,189,0,10,0,10,0,10,290,189,262,189,28,35,87,45,62,26,48,22,14,18,25,26
